objectid1,globalid,capacity,electric_bike_surcharge_waiver,external_id,has_kiosk,is_renting,is_returning,join_station_id,last_reported,lat,legacy_id,lon,name,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,OBJECTID,region_id,rental_methods,short_name,station_id,station_type,x,y
44664,{0F693925-D9C8-ADDC-42D2-2117E78C297A},23,False,fe90d430-d33f-48b2-a5cd-bc161b220939,True,1.0,1.0,fe90d430-d33f-48b2-a5cd-bc161b220939,1695303577000,42.371141,553,-71.076198,Cambridge Crossing at North First Street,6.0,2.0,15.0,0.0,0.0,73.0,8,"['CREDITCARD', 'KEY']",M32077,fe90d430-d33f-48b2-a5cd-bc161b220939,classic,-71.07619800057995,42.37114099975174
44665,{8564560D-B137-7037-632B-A1D04D9A3F7F},23,False,0208190e-851c-417d-8bc7-1b218db97fbf,True,1.0,1.0,0208190e-851c-417d-8bc7-1b218db97fbf,1695301853000,42.3629016,566,-71.0915669,Main Street/Albany Street/Technology Square,23.0,0.0,0.0,0.0,0.0,76.0,8,"['CREDITCARD', 'KEY']",M32080,0208190e-851c-417d-8bc7-1b218db97fbf,classic,-71.09156690040508,42.362901600213824
44666,{2581CF3A-2B7D-FAA6-2E8D-5A1062C98360},19,False,f8349440-0de8-11e7-991c-3863bb43a7d0,True,1.0,1.0,f8349440-0de8-11e7-991c-3863bb43a7d0,1695303213000,42.36507,68,-71.1031,Central Square at Mass Ave / Essex St,0.0,0.0,18.0,1.0,0.0,2.0,8,"['CREDITCARD', 'KEY']",M32011,f8349440-0de8-11e7-991c-3863bb43a7d0,classic,-71.10310000005072,42.36507000037412
44667,{3D81E0A9-9AA5-F7F7-2FCB-67F6AC5A9110},17,False,f8349b20-0de8-11e7-991c-3863bb43a7d0,True,1.0,1.0,f8349b20-0de8-11e7-991c-3863bb43a7d0,1695302274000,42.366426,76,-71.105495,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,0.0,0.0,16.0,1.0,0.0,8.0,8,"['CREDITCARD', 'KEY']",M32012,f8349b20-0de8-11e7-991c-3863bb43a7d0,classic,-71.10549499951152,42.366426000058674
44668,{71A189AE-41E0-6F36-413F-1DA37EA5488D},35,False,f8349de4-0de8-11e7-991c-3863bb43a7d0,True,1.0,1.0,f8349de4-0de8-11e7-991c-3863bb43a7d0,1695302058000,42.3621312344991,80,-71.0911560058594,MIT Stata Center at Vassar St / Main St,35.0,0.0,0.0,0.0,0.0,9.0,8,"['CREDITCARD', 'KEY']",M32005,f8349de4-0de8-11e7-991c-3863bb43a7d0,classic,-71.0911560059347,42.362131233841694
44669,{99402A97-8DA9-A152-385D-B807D7F71E1F},19,False,f834a6f9-0de8-11e7-991c-3863bb43a7d0,True,0.0,0.0,f834a6f9-0de8-11e7-991c-3863bb43a7d0,1649685740000,42.370677,90,-71.076529,Lechmere Station at Cambridge St / First St,0.0,0.0,19.0,0.0,0.0,13.0,8,"['CREDITCARD', 'KEY']",M32001,f834a6f9-0de8-11e7-991c-3863bb43a7d0,classic,-71.07652900051879,42.370676999808126
44670,{A254C9B3-719A-9D01-3103-2F01D0CFAAE1},19,False,f834abfd-0de8-11e7-991c-3863bb43a7d0,True,1.0,1.0,f834abfd-0de8-11e7-991c-3863bb43a7d0,1695301456000,42.373379,96,-71.111075,Cambridge Main Library at Broadway / Trowbridge St,0.0,0.0,19.0,0.0,0.0,16.0,8,"['CREDITCARD', 'KEY']",M32013,f834abfd-0de8-11e7-991c-3863bb43a7d0,classic,-71.11107499968216,42.37337899979296
44671,{76BE3372-D065-ACE0-6011-72ABBC374180},19,False,f834d064-0de8-11e7-991c-3863bb43a7d0,True,1.0,1.0,f834d064-0de8-11e7-991c-3863bb43a7d0,1695302572000,42.397828,118,-71.130516,Linear Park - Mass. Ave. at Cameron Ave. ,2.0,0.0,17.0,0.0,0.0,26.0,8,"['CREDITCARD', 'KEY']",M32025,f834d064-0de8-11e7-991c-3863bb43a7d0,classic,-71.13051600051232,42.397827999654744
44672,{A77869EC-BAA9-03DD-BE35-A9F21C638B42},19,False,f834fede-0de8-11e7-991c-3863bb43a7d0,True,1.0,1.0,f834fede-0de8-11e7-991c-3863bb43a7d0,1695303469000,42.3664467385295,144,-71.0765460133553,Rogers St & Land Blvd,9.0,0.0,10.0,0.0,0.0,32.0,8,"['CREDITCARD', 'KEY']",M32035,f834fede-0de8-11e7-991c-3863bb43a7d0,classic,-71.07654601299475,42.366446738870536
44673,{B3751788-E615-4BD8-1EAA-4663D09A714A},15,False,f8351726-0de8-11e7-991c-3863bb43a7d0,True,1.0,1.0,f8351726-0de8-11e7-991c-3863bb43a7d0,1695302526000,42.365444861374,185,-71.0827714204788,Third at Binney,5.0,1.0,9.0,0.0,0.0,43.0,8,"['CREDITCARD', 'KEY']",M32048,f8351726-0de8-11e7-991c-3863bb43a7d0,classic,-71.08277142001621,42.36544486088588
44674,{717BF8F4-A61B-FA88-ABE6-014D0983D619},19,False,70f20fcb-8e63-4015-9007-b97c525ab0a9,True,1.0,1.0,70f20fcb-8e63-4015-9007-b97c525ab0a9,1695303524000,42.3659943286744,335,-71.095222216145,Harvard St at Greene-Rose Heritage Park,4.0,1.0,14.0,0.0,0.0,54.0,8,"['CREDITCARD', 'KEY']",M32055,70f20fcb-8e63-4015-9007-b97c525ab0a9,classic,-71.09522221552606,42.36599432934225
44675,{0153725B-B433-909B-EA95-1604151EE358},19,False,9ca92778-9101-48df-90ea-08b784e26a1a,True,1.0,1.0,9ca92778-9101-48df-90ea-08b784e26a1a,1695303467000,42.3695529775651,413,-71.0857901498093,Kennedy-Longfellow School 158 Spring St,5.0,2.0,12.0,0.0,0.0,61.0,8,"['CREDITCARD', 'KEY']",M32065,9ca92778-9101-48df-90ea-08b784e26a1a,classic,-71.08579015017132,42.36955297833461
44676,{AFC0C3D7-65FE-2721-7B3B-4D816B97EFD4},19,False,9fef6df2-7f8f-43fc-a85b-7dd5453860f9,True,1.0,1.0,9fef6df2-7f8f-43fc-a85b-7dd5453860f9,1695302488000,42.372076579154,437,-71.0899543390587,Berkshire Street at Cambridge Street,0.0,0.0,19.0,0.0,0.0,63.0,8,"['CREDITCARD', 'KEY']",M32067,9fef6df2-7f8f-43fc-a85b-7dd5453860f9,classic,-71.08995433882716,42.37207657925713
44677,{1DF29123-5D80-EF2A-E1B2-AF324E8841C9},15,False,dede6d5f-7d62-496e-a8ca-d5a64afe39c1,True,1.0,1.0,dede6d5f-7d62-496e-a8ca-d5a64afe39c1,1695302966000,42.3576624788988,544,-71.1084133386612,Old Morse Park at Putnam Ave,0.0,0.0,15.0,0.0,0.0,72.0,8,"['CREDITCARD', 'KEY']",M32076,dede6d5f-7d62-496e-a8ca-d5a64afe39c1,classic,-71.1084133392664,42.35766247906237
44678,{66DFB094-0161-87AD-B8A3-EB0F04F93162},19,False,ff938129-8179-455c-9ac9-9fcb9fc0b6d5,True,1.0,1.0,ff938129-8179-455c-9ac9-9fcb9fc0b6d5,1695302723000,42.3873695374718,564,-71.127610014828,Raymond Park at Walden St,0.0,0.0,19.0,0.0,0.0,75.0,8,"['CREDITCARD', 'KEY']",M32079,ff938129-8179-455c-9ac9-9fcb9fc0b6d5,classic,-71.12761001540531,42.38736953664278
44679,{C74F7549-FB08-4DAB-5352-D0EC4C186F80},19,False,f9524971-e9f9-4572-aebc-580e48de042f,True,1.0,1.0,f9524971-e9f9-4572-aebc-580e48de042f,1695303047000,42.3730797979349,582,-71.0863423366573,Gore Street at Lambert Street,9.0,0.0,10.0,0.0,0.0,77.0,8,"['CREDITCARD', 'KEY']",M32081,f9524971-e9f9-4572-aebc-580e48de042f,classic,-71.08634233686087,42.37307979768982
44680,{C6DFE8A0-D4D5-0A93-EAEA-690CFF2374BA},15,False,986068c4-d11a-465a-b8d0-bd0960c57f51,True,1.0,1.0,986068c4-d11a-465a-b8d0-bd0960c57f51,1695303402000,42.363564989894,597,-71.1004418404809,Mass Ave/Lafayette Square,0.0,1.0,14.0,0.0,0.0,81.0,8,"['CREDITCARD', 'KEY']",M32085,986068c4-d11a-465a-b8d0-bd0960c57f51,classic,-71.10044183997542,42.363564990161265
44681,{0CB1A6ED-7D85-A4E8-E319-81FE8CEC5CA4},19,False,f834a67b-0de8-11e7-991c-3863bb43a7d0,True,1.0,1.0,f834a67b-0de8-11e7-991c-3863bb43a7d0,1695303429000,42.379011,89,-71.119945,Harvard Law School at Mass Ave / Jarvis St,11.0,1.0,7.0,0.0,0.0,12.0,8,"['CREDITCARD', 'KEY']",M32020,f834a67b-0de8-11e7-991c-3863bb43a7d0,classic,-71.11994499987198,42.37901100028682
44682,{E0A85366-B5C4-B720-5D89-C7A55EBAB154},15,False,f834ab92-0de8-11e7-991c-3863bb43a7d0,True,1.0,1.0,f834ab92-0de8-11e7-991c-3863bb43a7d0,1695303067000,42.372969,95,-71.094445,Cambridge St - at Columbia St / Webster Ave,0.0,1.0,14.0,0.0,0.0,15.0,8,"['CREDITCARD', 'KEY']",M32007,f834ab92-0de8-11e7-991c-3863bb43a7d0,classic,-71.09444500031107,42.37296899968676
44683,{05A9D761-2BD0-30CF-79C8-B7906F6EEB21},19,False,f834b8b3-0de8-11e7-991c-3863bb43a7d0,True,1.0,1.0,f834b8b3-0de8-11e7-991c-3863bb43a7d0,1695303574000,42.3572185031765,105,-71.1138716340065,Lower Cambridgeport at Magazine St / Riverside Rd,5.0,0.0,13.0,1.0,0.0,19.0,8,"['CREDITCARD', 'KEY']",M32022,f834b8b3-0de8-11e7-991c-3863bb43a7d0,classic,-71.11387163403082,42.357218502652586
44684,{B935E0C0-9586-6604-10DB-069392F7A8AE},23,False,f83520d8-0de8-11e7-991c-3863bb43a7d0,True,1.0,1.0,f83520d8-0de8-11e7-991c-3863bb43a7d0,1695302770000,42.3719767846797,195,-71.0720049597217,Child Street at Brian P. Murphy Staircase,14.0,1.0,8.0,0.0,0.0,45.0,8,"['CREDITCARD', 'KEY']",M32049,f83520d8-0de8-11e7-991c-3863bb43a7d0,classic,-71.07200496005039,42.37197678495065
44685,{8C5253AC-652A-30F3-1E28-4B973193E326},19,False,fbb9b58c-2b92-4bcf-8e4c-a982e40d2f39,True,1.0,1.0,fbb9b58c-2b92-4bcf-8e4c-a982e40d2f39,1695303357000,42.3725086499726,221,-71.113053560257,Verizon Innovation Hub 10 Ware Street,1.0,0.0,18.0,0.0,0.0,46.0,8,"['CREDITCARD', 'KEY']",M32050,fbb9b58c-2b92-4bcf-8e4c-a982e40d2f39,classic,-71.11305355969765,42.37250864960775
